m,n,q,P,MM_ser_sec,MM_1D_sec,MM_2D_sec,1D_speedup,1D_cost,2D_speedup,2D_cost,seed
4096,4096,2048,1,918.739,237.301,311.162,3.87162,237.301,2.95261,311.162,0
4096,4096,2048,4,930.474,52.2962,84.0591,17.7924,209.185,11.0693,336.236,0
4096,4096,2048,16,949.539,20.528,21.6363,46.2559,328.448,43.8864,346.181,0
4096,4096,2048,1,951.632,268.477,356.944,3.54456,268.477,2.66606,356.944,1
4096,4096,2048,4,949.252,74.2621,96.0586,12.7825,297.048,9.88201,384.234,1
4096,4096,2048,16,970.989,17.1896,21.4398,56.4871,275.033,45.289,343.037,1
4096,4096,2048,1,920.902,238.006,311.32,3.86923,238.006,2.95806,311.32,2
4096,4096,2048,4,924.362,52.2817,84.0036,17.6804,209.127,11.0038,336.014,2
4096,4096,2048,16,952.43,20.5465,21.6602,46.3549,328.744,43.9715,346.563,2
