m,n,q,P,MM_ser_sec,MM_1D_sec,MM_2D_sec,1D_speedup,1D_cost,2D_speedup,2D_cost,seed
4096,4096,4096,1,1809.54,517.46,746.341,3.49697,517.46,2.42455,746.341,0
4096,4096,4096,4,1884.11,108.331,170.621,17.3922,433.322,11.0426,682.485,0
4096,4096,4096,16,1896.38,40.5108,50.2104,46.8117,648.172,37.7686,803.366,0
4096,4096,4096,1,1811.68,517.549,746.135,3.5005,517.549,2.42808,746.135,1
4096,4096,4096,4,1299.6,67.9448,112.334,19.1273,271.779,11.569,449.338,1
4096,4096,4096,16,1130.82,22.6062,33.3687,50.0228,361.699,33.8888,533.899,1
4096,4096,4096,1,1064.68,494.09,776.359,2.15482,494.09,1.37137,776.359,2
4096,4096,4096,4,1942.81,148.65,191.629,13.0697,594.599,10.1384,766.516,2
4096,4096,4096,16,1954.33,40.5539,48.881,48.1909,648.862,39.9813,782.097,2
