m,n,q,P,MM_ser_sec,MM_1D_sec,MM_2D_sec,1D_speedup,1D_cost,2D_speedup,2D_cost,seed
4096,2048,4096,1,886.851,200.707,303.786,4.41864,200.707,2.91933,303.786,0
4096,2048,4096,4,886.859,67.5755,89.6636,13.124,270.302,9.89095,358.654,0
4096,2048,4096,16,917.661,20.3263,21.7407,45.1465,325.221,42.2093,347.851,0
4096,2048,4096,1,894.068,223.073,311.53,4.00797,223.073,2.86993,311.53,1
4096,2048,4096,4,885.436,67.7249,87.4264,13.074,270.9,10.1278,349.705,1
4096,2048,4096,16,942.076,20.3674,21.7505,46.254,325.879,43.3127,348.009,1
4096,2048,4096,1,897.956,228.694,315.709,3.92645,228.694,2.84425,315.709,2
4096,2048,4096,4,894.918,67.676,86.6941,13.2236,270.704,10.3227,346.777,2
4096,2048,4096,16,942.541,20.2842,21.8675,46.4667,324.548,43.1023,349.88,2
