m,n,q,P,MM_ser_sec,MM_1D_sec,MM_2D_sec,1D_speedup,1D_cost,2D_speedup,2D_cost,seed
2048,4096,4096,1,927.387,193.322,305.946,4.79712,193.322,3.03121,305.946,0
2048,4096,4096,4,956.452,55.3959,95.8463,17.2657,221.584,9.97902,383.385,0
2048,4096,4096,16,976.291,21.4335,23.5822,45.5497,342.936,41.3994,377.316,0
2048,4096,4096,1,920.511,186.598,333.091,4.93311,186.598,2.76354,333.091,1
2048,4096,4096,4,961.627,74.9756,95.731,12.8259,299.902,10.0451,382.924,1
2048,4096,4096,16,971.477,21.4361,23.5813,45.3197,342.977,41.1969,377.301,1
2048,4096,4096,1,914.778,184.939,349.136,4.94637,184.939,2.62012,349.136,2
2048,4096,4096,4,947.709,74.9692,95.7962,12.6413,299.877,9.89297,383.185,2
2048,4096,4096,16,815.891,12.6517,16.7707,64.4888,202.427,48.6497,268.332,2
