m,n,q,P,MM_ser_sec,MM_1D_sec,MM_2D_sec,1D_speedup,1D_cost,2D_speedup,2D_cost,seed
512,512,1024,16,1.78208,0.129851,0.142373,13.724,2.07762,12.517,2.27796,0
1024,1024,2048,16,13.7007,0.816033,1.07568,16.7894,13.0565,12.7368,17.2109,0
2048,2048,4096,16,283.522,6.22466,8.35723,45.5482,99.5946,33.9254,133.716,0
512,1024,1024,16,3.5614,0.260162,0.275529,13.6891,4.1626,12.9257,4.40847,0
1024,2048,2048,16,26.4448,1.62294,2.11118,16.2944,25.967,12.5261,33.7789,0
2048,4096,4096,16,565.517,12.6492,16.791,44.7077,202.387,33.6798,268.656,0
512,1024,2048,16,6.70019,0.501592,0.548581,13.3579,8.02547,12.2137,8.7773,0
1024,2048,4096,16,141.911,3.75608,4.1788,37.7818,60.0972,33.9598,66.8608,0
512,512,1024,16,1.78845,0.132178,0.142651,13.5306,2.11484,12.5372,2.28242,1
1024,1024,2048,16,13.6536,0.815139,1.07157,16.75,13.0422,12.7417,17.1451,1
2048,2048,4096,16,283.947,6.24116,8.36671,45.4958,99.8586,33.9377,133.867,1
512,1024,1024,16,3.56479,0.261324,0.275597,13.6413,4.18118,12.9348,4.40956,1
1024,2048,2048,16,26.4672,1.61576,2.10841,16.3806,25.8522,12.5532,33.7346,1
2048,4096,4096,16,569.063,12.6381,16.7802,45.0275,202.21,33.9128,268.483,1
512,1024,2048,16,6.6882,0.49975,0.548418,13.3831,7.99599,12.1954,8.77469,1
1024,2048,4096,16,141.627,3.75591,4.18205,37.7079,60.0946,33.8656,66.9128,1
512,512,1024,16,1.78638,0.131354,0.142461,13.5997,2.10167,12.5394,2.27938,2
1024,1024,2048,16,13.6909,0.815043,1.07194,16.7978,13.0407,12.7721,17.151,2
2048,2048,4096,16,284.2,6.22746,8.36652,45.6365,99.6394,33.9687,133.864,2
512,1024,1024,16,3.55367,0.258387,0.275174,13.7533,4.13419,12.9143,4.40279,2
1024,2048,2048,16,26.4546,1.609,2.1101,16.4417,25.744,12.5371,33.7617,2
2048,4096,4096,16,566.767,12.6551,16.7963,44.7855,202.482,33.7436,268.741,2
512,1024,2048,16,6.54444,0.495334,0.546041,13.2122,7.92535,11.9852,8.73666,2
1024,2048,4096,16,142.041,3.75909,4.17908,37.786,60.1454,33.9886,66.8652,2
